=== PROJECT PRICING DEBUG ===
Project,"Banyan's Sliding Door"
Status,"APPROVED"

=== PRICING MODE ===
Name,"Default (Hybrid)"
Extrusion Markup,300%
Hardware Markup,300%
Glass Markup,300%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: Fixed End Panel (4") (Panel 957) ---
Dimensions,"37.125" W x 95.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"STICKER-FLAT-TRIM","Flat Trim Sticker","Hardware",1,$0.10,$0.10,"master_part_hardware","Hardware cost: $0.1 × 1"
"HW-N&B-FAS3004","Flat Washer","Hardware",2,$0.00,$0.00,"no_cost_found","No pricing method found"
"JAMB-KIT-BOX","Jamb Kit Box","Packaging",1,$0.00,$0.00,"no_cost_found","No pricing method found"
"HW-N&B-FAS9152","3/8-16 Locking Nut","Hardware",4,$0.00,$0.00,"no_cost_found","No pricing method found"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware",2,$0.43,$0.87,"bom_formula","Formula: height - 9 → 95.625 - 9 = 86.63 × $0.005/IN × 2 qty = $0.87"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware",2,$0.08,$0.17,"bom_formula","Formula: width - 2 → 18.5 - 2 = 16.50 × $0.005/IN × 2 qty = $0.17"
"HW-BLT-FAS2060","Lag Bolt","Fastener",2,$0.00,$0.00,"no_cost_found","No pricing method found"
"DR-ASD-GRA-FGR9","Threaded Tie-Rod","CutStock",2,$0.90,$1.80,"extrusion_hybrid_percentage","Cut 18.00"" from 120"" stock (15.0% used, <50%) | Piece price: $6.00 | Calc: 15.0% × $6.00 × 2 qty = $1.80"

OPTION ITEMS
Category,Option Name,Part Number,Quantity,Unit Price,Total Price,Is Standard,Is Included
"Starter Channel","Starter Channel","E-12306",1,$10.16,$22.92,No,No

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost
"Clear 1/4" Tempered Glass","width - 2.5","height - 9.875",16.000,85.750,1,9.53,$4.00,$38.11

Component BOM Total,$156.59
Component Options Total,$22.92
Component Glass Total,$38.11

--- OPENING COST SUMMARY ---
Category,Base Cost,Markup %,Marked Up Cost
Extrusion,$820.05,300%,$3199.61
Hardware,$121.27,300%,$485.09
Glass,$186.58,300%,$746.32
Packaging,$20.00,0%,$20.00
Other,$0.70,0%,$0.70
Standard Options (no markup),$0.00,0%,$0.00
Hybrid Remaining (no markup),$26.86,0%,$26.86

Opening Total (Base),$1148.60
Opening Total (Marked Up),$4451.72


=== PROJECT TOTALS ===
Subtotal (Base),$1148.60
Subtotal (Marked Up),$4451.72
Installation,$0.00
Tax Rate,0.1%
Tax Amount,$4.45
Grand Total,$4456.17
