=== PROJECT PRICING DEBUG ===
Project,"Banyan's Sliding Door"
Status,"APPROVED"

=== PRICING MODE ===
Name,"Default (Hybrid)"
Extrusion Markup,300%
Hardware Markup,300%
Glass Markup,300%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: Fixed End Panel (4") (Panel 957) ---
Dimensions,"37.125" W x 95.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,Unit Cost,Finish Cost,Total Cost,Method,Details,Finish Details
BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,Unit Cost,Finish Cost,Total Cost,Method,Details,Finish Details
"48420","Whisker Strip","Extrusion","78in","39.75in",2,$3.37,$6.74,$13.49,"extrusion_hybrid_split","Cut 39.75"" from 78"" stock (51.0% used) | Piece price: $3.37 | Used: 51.0% × $3.37 × 2 = $3.44 (gets markup) | Remaining: 49.0% × $3.37 × 2 = $3.31 (no markup) | Material total: $6.75","Black (Powder Coated) (full stock): 0.417' perim × 6.50' = 2.71 sq ft × $1.245/sq ft × 2 = $6.74"
"48447","Glass Stop (Face)","Extrusion","75in","31.38in",2,$0.96,$1.99,$3.91,"extrusion_hybrid_percentage","Cut 31.38"" from 75"" stock (41.8% used, <50%) | Piece price: $2.30 | Calc: 41.8% × $2.30 × 2 qty = $1.93","Black (Powder Coated) (cut length): 0.305' perim × 2.61' = 0.80 sq ft × $1.245/sq ft × 2 = $1.99"
"E-12305H","2"" ThinWall Web Rail","Extrusion","106in","31.38in",1,$11.17,$4.23,$15.40,"extrusion_hybrid_percentage","Cut 31.38"" from 106"" stock (29.6% used, <50%) | Piece price: $37.75 | Calc: 29.6% × $37.75 × 1 qty = $11.17","Black (Powder Coated) (cut length): 1.298' perim × 2.61' = 3.39 sq ft × $1.245/sq ft × 1 = $4.23"
"48448","Glass Stop (Gutter)","Extrusion","102in","85.25in",2,$5.81,$11.51,$23.13,"extrusion_hybrid_split","Cut 85.25"" from 102"" stock (83.6% used) | Piece price: $5.81 | Used: 83.6% × $5.81 × 2 = $9.71 (gets markup) | Remaining: 16.4% × $5.81 × 2 = $1.91 (no markup) | Material total: $11.62","Black (Powder Coated) (full stock): 0.544' perim × 8.50' = 4.62 sq ft × $1.245/sq ft × 2 = $11.51"
"48448","Glass Stop (Gutter)","Extrusion","102in","31.38in",2,$1.79,$3.54,$7.12,"extrusion_hybrid_percentage","Cut 31.38"" from 102"" stock (30.8% used, <50%) | Piece price: $5.81 | Calc: 30.8% × $5.81 × 2 qty = $3.57","Black (Powder Coated) (cut length): 0.544' perim × 2.61' = 1.42 sq ft × $1.245/sq ft × 2 = $3.54"
"AD-SWG-SHIM-FG","Extra-Wide Shim Jack","Hardware","","",3,$0.01,$0.00,$0.03,"master_part_hardware","Hardware cost: $0.01 × 3",""
"DR-ASD-BUMBS35","Black Bumper","Hardware","","",9,$0.06,$0.00,$0.53,"master_part_hardware","Hardware cost: $0.0594 × 9",""
"HW-ROLL-BUL105","MR105 Mini V Wheel Assembly","Hardware","","",1,$0.66,$0.00,$0.66,"master_part_hardware","Hardware cost: $0.66 × 1",""
"HW-PLT-ALB0105","Albatur Suspension Plate","Hardware","","",2,$0.40,$0.00,$0.80,"master_part_hardware","Hardware cost: $0.4 × 2",""
"E-12382H","4"" Lock Stile","Extrusion","99in","92.63in",1,$48.63,$8.62,$57.25,"extrusion_hybrid_split","Cut 92.63"" from 99"" stock (93.6% used) | Piece price: $48.63 | Used: 93.6% × $48.63 × 1 = $45.50 (gets markup) | Remaining: 6.4% × $48.63 × 1 = $3.13 (no markup) | Material total: $48.63","Black (Powder Coated) (full stock): 0.839' perim × 8.25' = 6.92 sq ft × $1.245/sq ft × 1 = $8.62"
"HW-SCR-FAS9097-BLK","#6 x 3/8 Flat Head Phillips Screw","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"E-12311","Roller Track","Extrusion","85in","71.75in",1,$16.58,$7.94,$24.52,"extrusion_hybrid_split","Cut 71.75"" from 85"" stock (84.4% used) | Piece price: $16.58 | Used: 84.4% × $16.58 × 1 = $14.00 (gets markup) | Remaining: 15.6% × $16.58 × 1 = $2.58 (no markup) | Material total: $16.58","Black (Powder Coated) (full stock): 0.900' perim × 7.08' = 6.38 sq ft × $1.245/sq ft × 1 = $7.94"
"DR-ASD-NUT2641","#10-24 x 3/8 Philips Pan Head","Hardware","","",8,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-TUBP938","Trim Sweep Pile","Hardware","","",6,$0.62,$0.00,$3.71,"master_part_hardware","Hardware cost: $0.6186 × 6",""
"DR-ASD-ULTQTST","Swing Door Pile","Hardware","","",7,$0.15,$0.00,$1.04,"master_part_hardware","Hardware cost: $0.14828 × 7",""
"DR-ASD-TUB013D","Lock Stile Pile","Hardware","","",6,$0.35,$0.00,$2.11,"master_part_hardware","Hardware cost: $0.35181 × 6",""
"AD-ACC-TRK-CAP","Albatur 9700 Roller Track Cap","Hardware","","",1,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"AD-LUG-1.55-FG","Door Lug (1.55)","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-NUT6360","1/4-20 Threaded Rivnut Insert","Hardware","","",3,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-TUBS071","3/8-24 Locking Nut","Hardware","","",4,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
