=== PROJECT PRICING DEBUG ===
Project,"Example Project"
Status,"STAGING"

=== PRICING MODE ===
Name,"Hybrid"
Extrusion Markup,300%
Hardware Markup,100%
Glass Markup,100%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: ThinWall - Active Door (Panel 639) ---
Dimensions,"45" W x 84" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"DR-ASD-BUMBS35","Black Bumper","Hardware",9,$0.06,$0.53,"direct_bom_cost","Direct cost from ProductBOM: $0.0594 × 9"
"DR-ASD-TUBP938","Trim Sweep Pile","Hardware",1,$0.62,$0.62,"direct_bom_cost","Direct cost from ProductBOM: $0.6186 × 1"
"DR-ASD-TUBS071","3/8-24 Locking Nut","Hardware",4,$0.13,$0.52,"direct_bom_cost","Direct cost from ProductBOM: $0.13 × 4"
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Hardware",4,$0.11,$0.44,"direct_bom_cost","Direct cost from ProductBOM: $0.11 × 4"
"DR-ASD-NUT884","HexSleeve Anchor","Fastener",2,$0.39,$0.78,"direct_bom_cost","Direct cost from ProductBOM: $0.3902 × 2"
"E-12306","Starter Channel","Extrusion",1,$10.16,$10.16,"extrusion_hybrid_split","Hybrid (≥50% used): 68.7% used ($6.98 at markup) + 31.3% remaining ($3.18 at cost)"
"48447","Glass Stop (Face)","Extrusion",2,$3.13,$6.27,"extrusion_hybrid_split","Hybrid (≥50% used): 72.2% used ($4.52 at markup) + 27.8% remaining ($1.74 at cost)"
"48447","Glass Stop (Face)","Extrusion",2,$0.98,$1.97,"extrusion_hybrid_percentage","Hybrid (<50% used): 31.4% of stock × $3.13 × 2"
"48448","Glass Stop (Gutter)","Extrusion",2,$5.64,$11.28,"extrusion_hybrid_split","Hybrid (≥50% used): 74.4% used ($8.39 at markup) + 25.6% remaining ($2.89 at cost)"
"48351","Dovetail","Extrusion",1,$17.57,$17.57,"extrusion_hybrid_split","Hybrid (≥50% used): 83.5% used ($14.66 at markup) + 16.5% remaining ($2.91 at cost)"
"HW-N&B-FAS3004","Flat Washer","Hardware",2,$0.04,$0.07,"direct_bom_cost","Direct cost from ProductBOM: $0.0374 × 2"
"DR-ASD-NUT1512","Hex Head Screw","Hardware",2,$0.06,$0.11,"direct_bom_cost","Direct cost from ProductBOM: $0.055 × 2"
"RM-PUCK-BRKT","Roller Guide Bracket 12g Steel","Hardware",1,$0.01,$0.01,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 1"
"HW-BLT-FAS2060","Lag Bolt","Fastener",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"HW-STD-MCMA604","M5x15mm Press-Fit Stud","Hardware",2,$0.46,$0.92,"direct_bom_cost","Direct cost from ProductBOM: $0.4612 × 2"
"FOAM ROLL","Foam Gasket","Hardware",4,$0.33,$0.29,"master_part_hardware_lf","Hardware (LF): Formula ""(Width - 5) / 12"" = 2.6666666666666665"" = 0.22 LF × $0.33/LF × 4"
"FOAM ROLL","Foam Gasket","Hardware",4,$0.33,$0.67,"master_part_hardware_lf","Hardware (LF): Formula ""(Height - 10.375) / 12"" = 6.135416666666667"" = 0.51 LF × $0.33/LF × 4"
"48448","Glass Stop (Gutter)","Extrusion",2,$1.82,$3.65,"extrusion_hybrid_percentage","Hybrid (<50% used): 32.3% of stock × $5.64 × 2"

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost
"Clear","width - 5.5","height - 9.875",31.500,74.125,1,16.21,$4.00,$64.86

Component BOM Total,$183.94
Component Options Total,$0.00
Component Glass Total,$64.86

--- OPENING COST SUMMARY ---
Category,Base Cost,Markup %,Marked Up Cost
Extrusion,$511.75,300%,$1842.99
Hardware,$113.99,100%,$227.98
Glass,$214.92,100%,$429.84
Packaging,$10.00,0%,$10.00
